iter	RMSE
0	54496.97418
1	53929.0256
2	53403.87617
3	52906.54345
4	52404.81383
5	51989.55526
6	51663.15185
7	51355.66751
8	50951.22659
9	50645.91244
10	50335.17296
11	50010.84343
12	49763.19062
13	49554.60377
14	49315.46771
15	49064.89121
16	48820.21196
17	48608.69047
18	48490.79229
19	48334.16261
20	48167.43806
21	47991.29639
22	47869.67881
23	47770.52118
24	47642.75763
25	47508.97375
26	47364.37827
27	47198.57787
28	47116.86759
29	47018.75782
30	46896.1326
31	46777.76529
32	46684.3182
33	46601.78496
34	46528.65282
35	46442.88783
36	46329.83959
37	46263.09451
38	46182.94724
39	46082.14516
40	46040.83877
41	45943.36134
42	45882.02611
43	45813.63102
44	45721.32408
45	45660.08384
46	45574.15151
47	45545.92749
48	45443.45951
49	45399.61558
50	45310.72588
51	45255.33761
52	45191.73666
53	45080.31935
54	45048.82599
55	44998.1754
56	44921.27314
57	44851.17059
58	44754.9086
59	44714.0016
60	44618.95244
61	44554.96677
62	44483.015
63	44445.15581
64	44407.33854
65	44362.35856
66	44324.38977
67	44284.96186
68	44253.23978
69	44190.09143
70	44152.01239
71	44080.26842
72	44037.66379
73	43979.34935
74	43953.85293
75	43930.50885
76	43856.17881
77	43821.31378
78	43793.4628
79	43721.91436
80	43689.6523
81	43663.74934
82	43596.98674
83	43558.5884
84	43502.94203
85	43483.98438
86	43459.57512
87	43456.01232
88	43428.38265
89	43403.46035
90	43359.63691
91	43332.19363
92	43289.61954
93	43239.04132
94	43211.24437
95	43192.06264
96	43187.84158
97	43157.00576
98	43124.65102
99	43085.46741
100	43022.86837
101	42966.39779
102	42957.37195
103	42907.76946
104	42888.805
105	42874.59099
106	42845.0444
107	42836.97595
108	42817.9471
109	42793.04024
110	42791.64815
111	42746.20054
112	42714.87827
113	42675.80437
114	42650.02663
115	42635.58186
116	42624.73224
117	42614.91923
118	42557.13923
119	42493.93355
120	42472.5656
121	42439.21221
122	42380.76678
123	42341.68433
124	42305.70378
125	42284.5333
126	42259.83023
127	42242.68943
128	42225.90896
129	42202.29015
130	42180.24063
131	42166.97134
132	42125.03923
133	42091.99791
134	42020.66608
135	42010.29184
136	42000.4026
137	41992.85848
138	41965.99784
139	41941.13877
140	41889.00481
141	41868.73867
142	41852.17657
143	41841.82255
144	41761.69108
145	41728.27733
146	41697.28194
147	41675.49775
148	41658.97237
149	41635.97989
150	41584.87137
151	41495.72361
152	41469.7964
153	41440.39681
154	41387.23539
155	41373.66026
156	41362.73539
157	41326.19305
158	41292.50107
159	41257.087
160	41213.19152
161	41200.04766
162	41164.68557
163	41144.55032
164	41123.79027
165	41098.29836
166	41083.01197
167	41052.49495
168	41029.15495
169	40964.6337
170	40935.48163
171	40895.23981
172	40844.5682
173	40820.51606
174	40754.97831
175	40738.54811
176	40709.7087
177	40676.20069
178	40630.7362
179	40600.65238
180	40575.71074
181	40545.8749
182	40526.37399
183	40495.75631
184	40472.88061
185	40437.85703
186	40423.74931
187	40372.46749
188	40344.83396
189	40335.76722
190	40323.167
191	40293.90265
192	40276.28136
193	40253.36969
194	40220.66763
195	40181.79933
196	40158.60493
197	40149.16653
198	40124.32599
199	40067.43095
200	40050.4847
201	40018.00261
202	40000.42561
203	39976.9416
204	39956.8364
205	39944.80742
206	39925.31498
207	39912.2292
208	39902.26162
209	39879.2945
210	39848.26977
211	39796.63953
212	39780.57329
213	39756.51707
214	39735.71016
215	39670.71862
216	39650.39364
217	39630.91926
218	39604.10609
219	39584.16623
220	39568.84646
221	39537.46754
222	39528.5194
223	39463.77073
224	39444.24067
225	39425.06228
226	39399.71276
227	39367.11287
228	39305.54565
229	39267.92259
230	39254.75316
231	39188.19588
232	39171.30547
233	39156.80558
234	39123.42159
235	39110.45601
236	39088.45202
237	39055.64931
238	39038.65215
239	39017.46286
240	39004.97631
241	38982.11303
242	38942.03143
243	38924.1264
244	38912.40033
245	38895.58036
246	38851.68007
247	38809.48059
248	38794.95926
249	38770.6466
250	38759.31641
251	38732.72071
252	38706.56289
253	38674.3848
254	38653.86556
255	38642.79612
256	38617.13572
257	38603.67383
258	38561.23717
259	38547.66924
260	38539.50756
261	38515.28084
262	38499.10232
263	38485.93168
264	38454.21181
265	38447.70747
266	38434.41074
267	38419.39586
268	38400.94952
269	38379.96338
270	38344.09733
271	38316.53675
272	38306.62904
273	38297.1671
274	38282.15738
275	38254.2454
276	38233.41729
277	38215.63591
278	38195.98138
279	38189.40947
280	38137.10692
281	38116.24799
282	38111.4629
283	38096.07697
284	38075.31563
285	38043.90772
286	38014.12742
287	37994.41953
288	37983.98177
289	37966.14617
290	37951.66365
291	37945.85581
292	37944.95439
293	37944.3088
294	37921.54071
295	37907.27233
296	37903.96886
297	37899.72232
298	37874.8128
299	37856.84441
300	37856.11174
301	37838.67742
302	37823.3686
303	37802.88465
304	37784.58061
305	37778.51507
306	37777.52489
307	37749.8294
308	37734.8656
309	37731.40297
310	37718.24048
311	37698.44556
312	37664.02771
313	37656.91511
314	37632.0296
315	37617.93468
316	37617.39222
317	37613.89068
318	37603.65698
319	37572.31061
320	37534.67505
321	37519.37057
322	37510.7789
323	37501.30931
324	37481.95523
325	37463.79525
326	37427.75509
327	37411.69795
328	37405.42632
329	37371.30181
330	37349.61135
331	37347.49492
332	37334.7282
333	37304.16199
334	37296.67592
335	37283.48374
336	37269.44268
337	37254.85387
338	37226.74129
339	37195.74085
340	37188.38079
341	37167.11732
342	37147.30729
343	37131.88871
344	37112.95656
345	37099.80876
346	37079.43291
347	37065.99359
348	37054.85564
349	37027.94849
350	37013.01138
351	37006.46036
352	36990.0806
353	36976.77997
354	36961.62361
355	36948.96785
356	36938.16914
357	36937.29408
358	36910.43854
359	36869.26053
360	36857.4846
361	36842.92203
362	36815.96715
363	36801.51676
364	36792.33089
365	36778.35833
366	36768.40797
367	36758.1406
368	36739.81795
369	36722.20397
370	36711.31171
371	36697.43664
372	36669.47377
373	36664.83117
374	36640.31718
375	36627.27558
376	36611.43355
377	36603.37467
378	36594.00966
379	36579.18947
380	36563.37135
381	36548.28601
382	36539.28997
383	36517.84998
384	36516.48395
385	36507.00117
386	36480.74909
387	36443.8282
388	36410.10294
389	36396.20285
390	36385.37335
391	36375.31048
392	36368.34205
393	36349.1086
394	36325.65335
395	36316.5902
396	36310.02562
397	36309.29632
398	36298.48765
399	36285.67298
400	36281.53751
401	36272.45435
402	36259.44624
403	36241.5938
404	36205.88277
405	36182.79994
406	36179.83208
407	36172.60423
408	36171.95598
409	36149.64543
410	36137.62282
411	36116.63067
412	36094.85205
413	36084.31008
414	36063.193
415	36053.12702
416	36042.48545
417	36030.85284
418	36014.08253
419	35993.13349
420	35980.10302
421	35979.68675
422	35972.28404
423	35952.37552
424	35927.77733
425	35903.66248
426	35896.89893
427	35885.17094
428	35865.14756
429	35855.51169
430	35847.21329
431	35846.64934
432	35830.13223
433	35818.26345
434	35800.42857
435	35779.44652
436	35750.86973
437	35737.59577
438	35715.71071
439	35701.10129
440	35700.6763
441	35690.08909
442	35689.85646
443	35673.24274
444	35651.26621
445	35640.11831
