iter	Passed	Remaining
0	142	114132
1	145	58192
2	148	39550
3	151	30117
4	153	24466
5	156	20733
6	159	18080
7	161	15970
8	164	14421
9	168	13288
10	170	12256
11	175	11498
12	177	10759
13	180	10151
14	183	9600
15	185	9110
16	188	8685
17	191	8318
18	193	7935
19	195	7641
20	198	7364
21	201	7110
22	203	6878
23	206	6676
24	210	6512
25	212	6330
26	215	6161
27	219	6061
28	223	5941
29	226	5826
30	229	5699
31	232	5585
32	235	5484
33	238	5383
34	242	5290
35	245	5212
36	248	5127
37	251	5045
38	254	4962
39	256	4882
40	259	4802
41	262	4739
42	265	4671
43	268	4604
44	270	4539
45	273	4477
46	275	4418
47	278	4358
48	280	4304
49	283	4251
50	286	4201
51	289	4163
52	292	4122
53	294	4074
54	297	4033
55	300	3990
56	302	3947
57	305	3910
58	308	3878
59	311	3843
60	314	3809
61	317	3780
62	320	3749
63	323	3721
64	326	3688
65	328	3656
66	331	3624
67	334	3597
68	338	3584
69	341	3561
70	344	3539
71	347	3511
72	349	3485
73	352	3462
74	355	3439
75	358	3415
76	361	3392
77	364	3370
78	367	3351
79	369	3328
80	372	3310
81	375	3289
82	378	3273
83	381	3254
84	384	3237
85	387	3217
86	390	3196
87	391	3163
88	394	3149
89	396	3130
90	399	3115
91	402	3100
92	405	3082
93	408	3066
94	411	3053
95	414	3038
96	415	3012
97	418	2997
98	421	2981
99	423	2965
100	426	2951
101	430	2947
102	432	2928
103	435	2913
104	438	2902
105	441	2889
106	443	2875
107	446	2861
108	448	2846
109	451	2833
110	452	2810
111	455	2795
112	457	2782
113	460	2770
114	463	2760
115	467	2757
116	470	2745
117	472	2732
118	475	2720
119	478	2709
120	481	2699
121	483	2689
122	486	2676
123	488	2665
124	491	2652
125	494	2643
126	496	2632
127	499	2620
128	501	2609
129	504	2599
130	507	2590
131	509	2580
132	512	2570
133	515	2561
134	517	2550
135	520	2541
136	524	2537
137	527	2528
138	529	2519
139	532	2510
140	535	2501
141	538	2493
142	541	2486
143	543	2477
144	546	2469
145	549	2461
146	552	2452
147	555	2445
148	558	2438
149	561	2431
150	563	2423
151	566	2415
152	569	2408
153	572	2401
154	575	2393
155	578	2388
156	581	2380
157	583	2372
158	587	2366
159	589	2359
160	592	2351
161	595	2345
162	598	2338
163	601	2330
164	603	2323
